,NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,MINUTES_PER_ASSIST,MINUTES_PER_GOAL,MINUTES_PER_GAME,MINUTES_PER_POINT,MINUTES_PER_XG,MINUTES_PER_XA,xg_diff,xa_diff
37,erling haaland,Haaland,Man City,1,FW,150,23,31,29,2552,27,5,7,1,1,0,29.2,4.3,0,25,11,0,217,510.4,94.51851851851852,82.3225806451613,11.76036866359447,87.3972602739726,593.4883720930233,-2.1999999999999993,0.7000000000000002
38,noni madueke,Madueke,Chelsea,6,MF,65,21,23,13,1053,5,2,1,0,2,0,2.5,2.6,0,19,4,0,76,526.5,210.6,45.78260869565217,13.855263157894736,421.2,405.0,2.5,-0.6000000000000001
39,tosin adarabioyo,Tosin,Chelsea,6,DF,45,25,20,18,1617,2,0,0,0,2,0,0.7,0.1,0,25,6,0,66,3510.0,808.5,80.85,24.5,2310.0,16170.0,1.3,-0.1
40,craig dawson,Dawson,Wolves,14,DF,45,33,25,25,2209,1,1,0,0,7,0,1.5,1.4,0,38,6,0,69,2209.0,2209.0,88.36,32.01449275362319,1472.6666666666667,1577.857142857143,-0.5,-0.3999999999999999
41,nathan fraser,Fraser,Wolves,14,FW,45,18,7,1,186,0,0,0,0,1,0,0.3,0.1,0,3,1,0,7,3510.0,3510.0,26.571428571428573,26.571428571428573,620.0,1860.0,-0.3,-0.1
42,ethan pinnock,Pinnock,Brentford,16,DF,45,30,29,28,2521,2,0,0,0,1,0,2.0,1.0,0,46,5,0,77,3510.0,1260.5,86.93103448275862,32.74025974025974,1260.5,2521.0,0.0,-1.0
43,ibrahima konate,Konaté,Liverpool,3,DF,50,24,22,17,1574,0,0,0,0,5,1,0.7,0.4,0,19,6,0,56,3510.0,3510.0,71.54545454545455,28.107142857142858,2248.571428571429,3935.0,-0.7,-0.4
44,danny ings,Ings,West Ham,9,FW,50,31,20,3,404,1,0,0,0,1,0,1.3,0.3,0,10,0,0,36,3510.0,404.0,20.2,11.222222222222221,310.7692307692308,1346.6666666666667,-0.30000000000000004,-0.3
45,andrew robertson,Robertson,Liverpool,3,DF,60,29,23,18,1693,3,2,0,0,2,0,1.9,5.4,0,22,3,0,76,846.5,564.3333333333334,73.6086956521739,22.276315789473685,891.0526315789474,313.5185185185185,1.1,-3.4000000000000004
46,robin olsen,Olsen,Aston Villa,4,GK,45,33,5,4,405,0,0,0,0,0,0,0.0,0.0,0,13,0,21,17,3510.0,3510.0,81.0,23.823529411764707,35100.0,35100.0,0.0,0.0
47,solly march,March,Brighton,11,MF,65,29,7,7,554,3,1,0,0,1,0,2.0,1.0,0,11,2,0,39,554.0,184.66666666666666,79.14285714285714,14.205128205128204,277.0,554.0,1.0,0.0
48,antony matheus dos santos,Antony,Man Utd,8,MF,60,23,29,15,1324,1,1,0,0,5,0,3.4,2.8,0,26,3,0,47,1324.0,1324.0,45.6551724137931,28.170212765957448,389.4117647058824,472.8571428571429,-2.4,-1.7999999999999998
