NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
cesar azpilicueta,30,4.0,DF,26,24,2188,1,2,0,0,5,1,0.7,2.5,0,20,13,0,113,87
ryan bertrand,30,15.0,DF,29,29,2598,0,1,0,0,5,0,0.4,1.3,0,51,8,0,78,4
matt targett,24,11.0,DF,38,38,3404,0,2,0,0,7,0,0.3,2.5,0,44,16,0,138,101
jannik vestergaard,27,15.0,DF,30,29,2574,3,0,0,0,3,1,1.5,0.5,0,47,6,0,86,11
ozan kabak,20,3.0,DF,9,9,801,0,0,0,0,3,0,0.1,0.0,0,9,3,0,26,18
thomas partey,27,8.0,MF,24,18,1534,0,2,0,0,5,0,1.3,1.0,0,18,6,0,47,71
stuart dallas,29,9.0,"MF,DF",38,38,3409,8,2,0,0,7,0,4.2,1.8,0,53,12,0,171,80
jean-philippe mateta,23,14.0,FW,7,2,221,1,0,0,0,0,0,0.3,0.0,0,4,0,0,15,61
ben white,22,16.0,"DF,MF",36,36,3191,0,0,0,0,5,1,0.5,0.9,0,44,12,0,104,107
dan burn,28,16.0,DF,27,23,2061,1,0,0,0,5,0,1.5,0.8,1,28,6,0,64,92
emile smith rowe,20,8.0,"MF,FW",20,18,1440,2,4,0,0,0,0,1.8,3.4,0,10,9,0,74,125
robin koch,24,9.0,"DF,MF",17,13,1132,0,0,0,0,1,0,0.7,0.1,0,21,4,0,38,23
phil bardsley,35,17.0,DF,4,3,274,0,0,0,0,2,0,0.1,0.0,0,8,0,0,2,0
dwight gayle,29,12.0,"FW,MF",18,4,514,1,1,0,0,0,0,2.9,0.3,0,9,0,0,31,7
joshua king,28,10.0,"MF,FW",11,0,148,0,0,0,0,0,0,0.6,0.0,0,2,0,0,11,87
dennis praet,26,5.0,MF,15,10,718,1,1,0,0,0,0,0.4,1.1,0,11,3,0,37,0
