NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
riyad mahrez,29,1.0,FW,27,23,1949,9,6,0,0,0,0,4.7,5.0,0,22,11,0,145,135
ki-jana hoever,18,13.0,"DF,MF",12,5,577,0,0,0,0,1,0,0.0,0.2,0,11,0,0,13,14
erik lamela,28,7.0,"FW,MF",23,5,717,1,0,0,0,6,1,1.1,1.0,0,17,1,0,28,0
calum chambers,25,8.0,DF,10,8,753,0,2,0,0,0,0,0.4,1.1,0,10,2,0,36,42
leandro trossard,25,16.0,"MF,FW",35,30,2607,5,5,0,0,2,0,4.6,4.9,0,30,12,0,132,141
kelechi iheanacho,23,5.0,FW,25,16,1459,12,2,0,1,1,0,8.2,3.7,0,23,5,0,110,80
niels nkounkou,19,10.0,"DF,FW",2,1,81,0,0,0,0,1,0,0.0,0.0,0,1,0,0,2,0
christian benteke,29,14.0,FW,30,21,1816,10,1,0,0,3,1,8.3,0.9,0,34,5,0,106,58
mateo kovacic,26,4.0,MF,27,21,1815,0,1,0,0,4,0,1.0,1.7,0,26,9,0,54,76
marc albrighton,30,5.0,"DF,FW",31,17,1746,1,5,0,0,2,0,1.2,3.5,0,22,4,0,78,40
amad diallo,18,2.0,FW,3,2,166,0,1,0,0,0,0,0.0,0.5,0,3,0,0,8,0
christian pulisic,21,4.0,"FW,MF",27,18,1738,4,2,0,0,2,0,6.1,2.8,0,21,7,0,82,77
michail antonio,30,6.0,FW,26,24,1974,10,5,0,0,3,0,12.9,3.0,0,25,6,0,118,140
jack stephens,26,15.0,DF,18,17,1537,0,0,0,0,2,0,0.8,0.3,0,39,4,0,41,12
erik pieters,31,17.0,"DF,MF",20,13,1266,0,1,0,0,1,0,0.2,0.4,1,19,3,0,50,37
marcus rashford,22,2.0,FW,37,33,2920,11,9,0,0,4,0,8.9,3.8,0,39,12,0,174,63
sead kolasinac,27,8.0,DF,1,1,90,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
james tomkins,31,14.0,DF,8,6,553,0,0,0,0,1,0,0.2,0.3,0,12,2,0,18,17
bukayo saka,18,8.0,"FW,MF",32,30,2553,5,3,0,0,1,0,6.9,4.4,1,31,8,0,114,179
ibrahima diallo,21,15.0,MF,22,10,1020,0,0,0,0,3,0,0.5,0.6,0,22,3,0,31,44
cedric soares,28,8.0,DF,10,8,746,0,1,0,0,1,0,0.3,0.9,0,11,2,0,28,48
phil foden,20,1.0,"FW,MF",28,17,1616,9,5,0,0,0,0,5.0,3.6,0,16,6,0,135,137
tanguy ndombele,23,7.0,MF,33,28,2091,3,2,0,0,3,0,1.6,1.8,0,24,12,0,99,22
paul pogba,27,2.0,"MF,FW",26,21,1897,3,3,0,0,3,0,2.8,2.4,0,26,5,0,92,65
fernando marcal,31,13.0,"DF,MF",13,7,623,0,0,0,0,2,0,0.1,0.1,0,9,1,0,19,67
john mcginn,25,11.0,MF,37,37,3330,3,5,0,0,12,0,2.5,3.6,0,46,14,0,114,110
caoimhin kelleher,21,3.0,GK,2,2,180,0,0,0,0,0,0,0.0,0.0,0,1,1,6,10,8
mark noble,33,6.0,MF,21,8,712,0,0,0,0,1,0,0.0,0.3,0,15,0,0,27,19
wilfried zaha,27,14.0,FW,30,29,2612,11,2,2,0,6,0,8.1,3.1,0,52,6,0,136,150
benjamin mendy,26,1.0,DF,13,11,953,2,1,0,0,2,0,0.3,0.2,0,10,5,0,63,3
andreas christensen,24,4.0,DF,17,15,1371,0,0,0,0,2,1,0.1,0.3,0,17,8,0,61,69
kevin long,29,17.0,DF,8,7,637,0,0,0,0,2,0,0.4,0.0,0,13,1,0,14,7
moussa sissoko,30,7.0,MF,25,15,1585,0,0,0,0,3,0,0.2,0.1,0,22,5,0,44,85
pablo fornals,24,6.0,"FW,MF",33,31,2572,5,4,0,0,3,0,6.0,2.3,0,33,9,0,125,117
tyrone mings,27,11.0,DF,36,36,3194,2,2,0,0,6,1,1.9,0.4,1,42,14,0,128,118
will norris,26,17.0,GK,2,2,180,0,0,0,0,0,0,0.0,0.0,0,4,0,2,3,0
alireza jahanbakhsh,26,16.0,"FW,MF",21,6,528,0,1,0,0,3,0,1.5,3.0,0,9,1,0,24,0
billy gilmour,19,4.0,MF,5,3,261,0,0,0,0,0,0,0.1,0.2,0,2,1,0,8,49
alexandre lacazette,29,8.0,FW,31,22,1923,13,2,3,0,3,0,11.7,2.2,0,21,7,0,129,90
pablo mari,26,8.0,DF,10,10,900,0,0,0,0,2,0,0.1,0.3,0,8,4,0,34,1
jean-philippe gbamin,24,10.0,MF,1,0,12,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,3
harry maguire,27,2.0,DF,34,34,3047,2,1,0,0,11,0,2.3,0.3,0,36,13,0,124,69
declan rice,21,6.0,MF,32,32,2879,2,1,1,1,2,0,3.2,1.8,0,37,11,0,86,95
william smallbone,20,15.0,MF,3,2,172,0,0,0,0,0,0,0.1,0.0,0,5,0,0,5,5
pascal groß,29,16.0,"MF,DF",34,27,2484,3,8,3,1,3,0,4.9,5.2,0,28,10,0,116,88
ashley westwood,30,17.0,MF,38,38,3410,3,3,0,0,7,0,1.2,6.8,0,55,11,0,112,63
aaron ramsdale,22,20.0,GK,38,38,3420,0,0,0,0,1,0,0.0,0.1,0,63,5,146,123,135
bernd leno,28,8.0,GK,35,35,3131,0,0,0,0,0,1,0.0,0.0,1,37,11,86,131,10
daniel amartey,25,5.0,DF,12,8,722,1,0,0,0,3,0,0.4,0.0,0,12,0,0,19,55
neco williams,19,3.0,DF,6,3,249,0,0,0,0,1,0,0.1,0.2,0,1,1,0,11,4
miguel almiron,26,12.0,"MF,FW",34,28,2429,4,1,0,0,3,0,3.2,2.9,0,48,5,0,97,59
pablo hernandez,35,9.0,MF,16,3,427,0,2,0,0,1,0,1.1,0.7,0,6,1,0,28,0
toby alderweireld,31,7.0,DF,25,25,2240,1,0,0,0,2,0,0.7,0.7,1,25,10,0,88,0
james tarkowski,27,17.0,DF,36,36,3240,1,0,0,0,6,0,3.4,1.2,0,50,11,0,109,83
olivier giroud,33,4.0,FW,17,8,748,4,0,0,0,1,0,4.2,1.1,0,5,4,0,47,0
granit xhaka,27,8.0,"MF,DF",31,29,2522,1,2,0,0,7,1,0.9,1.5,0,27,10,0,70,60
eric dier,26,7.0,DF,28,28,2520,0,0,0,0,3,0,1.2,0.3,0,34,8,0,77,132
nemanja matic,31,2.0,MF,20,12,1106,0,0,0,0,2,0,0.3,0.7,0,18,4,0,36,52
james rodriguez,29,10.0,"FW,MF",23,21,1764,6,4,0,0,4,0,2.8,4.8,0,27,5,0,101,0
che adams,24,15.0,FW,36,30,2667,9,5,0,0,1,0,9.8,5.0,0,51,7,0,137,103
keinan davis,22,11.0,"FW,MF",15,1,277,1,1,0,0,0,0,1.5,0.6,0,1,1,0,23,1
kyle walker,30,1.0,DF,96,88,7784,4,4,0,0,4,0,1.2,2.4,0,122,36,0,368,85
thiago alcantara,29,3.0,MF,24,20,1854,1,0,0,0,4,0,1.2,2.3,0,18,8,0,55,69
kyle walker-peters,23,15.0,DF,120,120,10580,0,8,0,0,16,0,4.0,4.8,0,122,36,0,368,85
john stones,26,1.0,DF,22,22,1933,4,0,0,0,0,1,1.8,0.1,0,12,14,0,128,70
max kilman,23,13.0,DF,18,14,1310,0,1,0,0,4,0,0.8,0.5,0,11,5,0,58,106
timothy castagne,24,5.0,DF,27,27,2345,2,3,0,0,1,0,1.1,2.2,0,37,6,0,94,75
ayoze perez,27,5.0,"MF,FW",25,15,1331,2,1,0,0,2,0,3.3,1.3,0,21,5,0,58,35
daniel james,22,2.0,FW,15,11,910,3,1,0,0,3,0,2.2,0.9,0,7,4,0,43,91
davy propper,28,16.0,MF,7,2,213,0,0,0,0,0,0,0.2,0.0,0,2,0,0,9,0
fabian schar,28,12.0,DF,18,13,1246,1,0,1,0,4,1,1.3,0.0,0,21,2,0,30,88
takumi minamino,25,9.0,MF,19,11,1004,3,0,0,0,1,0,2.6,0.5,0,36,4,0,96,28
james milner,34,3.0,"MF,DF",26,11,1070,0,1,0,0,3,0,0.4,0.8,0,10,4,0,44,38
willy caballero,38,4.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,2
jordan pickford,26,10.0,GK,31,31,2742,0,0,0,0,1,0,0.0,0.0,0,39,10,89,114,116
conor coady,27,13.0,DF,37,37,3303,1,0,0,0,5,0,1.0,0.2,0,51,10,0,106,138
james mcarthur,32,14.0,MF,18,17,1466,0,2,0,0,3,0,0.3,1.2,0,26,4,0,45,54
steven bergwijn,22,7.0,"FW,MF",21,13,1208,1,3,0,0,3,0,2.0,0.9,0,15,5,0,55,55
douglas luiz,22,11.0,MF,33,32,2781,0,2,0,0,10,1,1.2,1.6,0,41,12,0,72,89
joel ward,30,14.0,DF,26,25,2256,0,1,0,0,5,0,0.1,0.6,0,43,7,0,66,73
jacob murphy,25,12.0,"DF,MF",26,17,1626,2,3,0,0,3,0,1.7,3.8,0,33,3,0,69,62
michael keane,27,10.0,DF,35,33,2991,3,1,0,0,4,0,1.5,1.1,0,43,11,0,127,102
wilfred ndidi,23,5.0,"MF,DF",26,25,2176,1,4,0,0,6,0,0.7,1.3,0,31,7,0,79,41
kalvin phillips,24,9.0,MF,29,28,2428,1,2,0,0,10,0,0.5,3.4,0,34,9,0,67,39
emil krafth,25,12.0,DF,16,14,1288,1,0,0,0,4,0,0.3,0.4,0,27,5,0,45,58
aaron connolly,20,16.0,FW,17,9,791,2,1,0,0,0,0,4.0,0.2,0,17,1,0,38,5
patrick cutrone,22,13.0,FW,2,0,25,0,0,0,0,0,0,0.1,0.0,0,0,0,0,2,0
demarai gray,24,5.0,FW,1,0,19,0,0,0,0,0,0,0.1,0.0,0,0,0,0,1,106
virgil van dijk,29,3.0,DF,5,5,370,1,0,0,0,1,0,0.2,0.0,0,11,1,0,15,183
matt ritchie,30,12.0,"DF,MF",18,15,1350,0,2,0,0,2,0,0.4,2.2,1,22,3,0,52,20
dale stephens,31,17.0,MF,7,3,261,0,0,0,0,1,0,0.2,0.0,0,4,0,0,8,4
jamaal lascelles,26,12.0,DF,19,19,1625,2,0,0,0,4,0,1.3,0.1,0,32,2,0,44,47
dominic calvert-lewin,23,10.0,FW,33,32,2871,16,0,0,0,3,0,16.3,2.0,0,39,11,0,165,64
matthew lowton,31,17.0,DF,34,34,3060,1,1,0,0,5,0,0.8,3.1,0,47,10,0,103,65
neal maupay,23,16.0,"FW,MF",33,29,2512,8,2,3,1,1,1,13.2,3.9,0,34,10,0,105,98
bernardo,25,16.0,"DF,MF",12,8,824,0,0,0,0,0,0,1.6,0.4,0,42,22,0,198,155
leander dendoncker,25,13.0,"MF,DF",33,28,2503,1,0,0,0,4,0,3.1,0.7,1,33,11,0,77,76
ben davies,27,7.0,DF,80,56,5384,0,4,0,0,4,0,0.8,2.4,0,32,8,0,104,105
bernard,27,10.0,"MF,FW",108,27,4095,9,0,0,0,18,0,2.6999999999999997,5.3999999999999995,0,84,39,0,360,155
james maddison,23,5.0,MF,31,24,2099,8,5,0,0,4,0,3.8,5.1,0,28,10,0,133,181
joel matip,28,3.0,DF,10,9,691,1,2,0,0,2,0,0.8,0.9,0,5,3,0,42,170
willian,31,8.0,FW,50,32,2812,2,10,0,0,0,0,3.8,6.0,0,30,8,0,118,0
isaac hayden,25,12.0,"MF,DF",24,22,1942,0,0,0,0,8,0,0.7,0.3,0,33,4,0,40,28
fraser forster,32,15.0,GK,8,8,720,0,0,0,0,0,0,0.0,0.0,0,11,2,20,30,57
nick pope,28,17.0,GK,32,32,2880,0,0,0,0,1,0,0.0,0.1,0,37,11,114,144,130
nathaniel clyne,29,14.0,DF,13,13,1145,0,1,0,0,2,0,0.2,0.2,0,22,2,0,28,59
jonjo shelvey,28,12.0,MF,30,29,2617,1,3,0,0,7,0,2.5,3.0,0,46,6,0,74,63
alexis mac allister,21,16.0,"MF,FW",21,13,1115,1,1,0,0,1,0,1.3,1.5,0,14,5,0,48,93
ferran torres,20,1.0,"FW,MF",24,15,1306,7,2,0,0,1,0,4.9,2.2,0,13,7,0,95,26
ashley barnes,30,17.0,FW,22,15,1331,3,0,1,0,4,0,4.1,0.8,0,19,6,0,52,32
brandon williams,19,2.0,DF,4,2,188,0,0,0,0,0,0,0.2,0.0,0,3,0,0,5,36
pascal struijk,20,9.0,"DF,MF",27,22,2075,1,0,0,0,3,0,1.7,0.1,0,32,7,0,71,35
harry winks,24,7.0,MF,15,9,861,0,0,0,0,5,0,0.1,0.2,0,16,1,0,19,33
vicente guaita,33,14.0,GK,37,37,3330,0,0,0,0,2,0,0.0,0.0,0,64,8,107,124,119
james justin,22,5.0,DF,23,23,2070,2,1,0,0,4,0,2.2,2.0,0,25,9,0,101,29
karl darlow,29,12.0,GK,25,25,2250,0,0,0,0,3,0,0.0,0.0,0,43,4,88,80,20
divock origi,25,3.0,FW,9,2,186,0,0,0,0,0,0,1.1,0.2,0,0,1,0,10,22
liam delap,17,1.0,FW,1,0,40,0,0,0,0,0,0,0.0,0.0,0,4,0,0,1,1
mateusz klich,30,9.0,MF,35,28,2393,4,5,2,0,6,0,3.0,3.4,0,44,8,0,99,61
curtis jones,19,3.0,MF,24,13,1179,1,2,0,0,2,0,1.7,1.5,0,14,5,0,50,40
robert sanchez,22,16.0,GK,27,27,2430,0,0,0,0,2,0,0.0,0.0,0,27,10,66,101,126
chris wood,28,17.0,FW,33,32,2741,12,3,2,0,0,0,13.0,1.9,0,43,9,0,138,91
kieran tierney,23,8.0,DF,27,26,2299,1,3,0,0,4,0,0.5,3.5,0,27,8,0,96,106
tom davies,22,10.0,MF,25,17,1423,0,1,0,0,3,0,0.2,0.9,0,23,5,0,47,12
richarlison,23,10.0,FW,34,33,2861,7,3,1,0,4,1,9.7,3.3,0,38,11,0,123,125
kepa arrizabalaga,25,4.0,GK,7,6,585,0,0,0,0,1,0,0.0,0.0,0,8,2,16,26,19
rob holding,24,8.0,DF,30,28,2558,0,1,0,0,2,0,1.0,0.2,1,26,11,0,105,29
morgan gibbs-white,20,13.0,"MF,FW",11,4,414,1,0,0,0,1,0,0.8,0.4,0,6,0,0,22,1
bertrand traore,24,11.0,FW,36,29,2317,7,6,0,0,1,0,6.6,4.3,0,31,11,0,135,13
tyler roberts,21,9.0,"MF,FW",27,14,1340,1,2,0,0,3,0,1.8,2.3,0,19,4,0,49,34
andi zeqiri,21,16.0,"FW,DF",9,0,171,0,0,0,0,0,0,0.7,0.1,0,2,0,0,9,0
illan meslier,20,9.0,GK,35,35,3150,0,0,0,0,0,0,0.0,0.0,1,52,11,140,154,106
michael obafemi,20,15.0,FW,4,0,61,0,0,0,0,0,0,0.0,0.1,0,2,0,0,4,0
wesley fofana,19,5.0,DF,28,27,2262,0,0,0,0,7,0,1.0,0.3,0,30,7,0,71,17
angelo ogbonna,32,6.0,DF,28,28,2492,3,0,0,0,5,0,1.7,0.8,0,34,9,0,100,40
romain saiss,30,13.0,DF,27,27,2407,3,0,0,0,2,0,3.0,0.2,0,40,8,0,99,109
nathan redmond,26,15.0,"MF,FW",29,17,1738,2,3,0,0,1,0,3.1,3.2,0,39,1,0,67,79
scott carson,34,1.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,3,0,2,7,0
ross barkley,26,7.5,"FW,MF",26,18,1573,3,1,0,0,0,0,3.1,4.3,0,48,16,0,152,14
ollie watkins,24,11.0,FW,37,37,3328,14,5,1,1,4,1,14.5,5.3,0,46,14,0,168,131
john ruddy,33,13.0,GK,2,1,91,0,0,0,0,0,0,0.0,0.0,0,1,0,3,4,3
david de gea,29,2.0,GK,26,26,2295,0,0,0,0,0,0,0.0,0.0,0,32,9,59,91,132
morgan sanson,25,11.0,MF,9,3,294,0,0,0,0,3,0,0.0,0.1,0,4,1,0,10,13
anwar el ghazi,25,11.0,FW,28,17,1613,10,0,4,0,2,0,8.4,1.8,0,22,5,0,111,22
nathan tella,21,15.0,"FW,MF",18,7,745,1,1,0,0,2,0,1.6,0.8,0,11,2,0,36,29
zack steffen,25,1.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,1,0,1,2,7
luke thomas,19,5.0,DF,14,12,969,1,0,0,0,2,0,0.3,0.7,0,18,1,0,26,50
jan bednarek,24,15.0,DF,36,36,3100,1,1,0,0,5,1,0.7,0.6,1,62,9,0,94,94
tariq lamptey,19,16.0,"DF,MF",11,11,886,1,1,0,0,4,1,0.7,0.8,0,15,2,0,35,74
hector bellerin,25,8.0,"DF,MF",25,24,2089,1,2,0,0,8,0,0.8,2.4,0,24,7,0,94,0
kai havertz,21,4.0,"MF,FW",27,18,1520,4,3,0,0,2,0,5.5,1.3,0,15,8,0,91,112
alex iwobi,24,10.0,"FW,MF",30,17,1542,1,2,0,0,0,0,0.9,1.9,0,21,5,0,65,78
serge aurier,27,7.0,DF,19,19,1605,2,3,0,0,0,0,1.1,3.4,0,22,6,0,80,0
martin kelly,30,14.0,DF,1,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
conor hourihane,29,11.0,MF,4,3,225,1,1,0,0,0,0,0.7,0.6,0,2,2,0,20,0
ryan fredericks,27,6.0,"DF,FW",14,6,569,1,1,0,0,2,0,0.3,1.2,0,9,1,0,28,7
runar alex runarsson,25,8.0,GK,1,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,2,1,0
cheikhou kouyate,30,14.0,DF,36,35,3121,1,0,0,0,4,0,0.7,1.0,0,56,8,0,82,77
edinson cavani,33,2.0,FW,26,13,1375,10,3,0,0,4,0,8.0,2.2,0,18,4,0,99,34
andros townsend,29,14.0,"MF,FW",34,25,2258,1,5,0,0,0,0,2.3,4.0,0,37,7,0,94,66
patrick bamford,26,9.0,FW,38,37,3050,17,7,2,0,3,0,18.2,3.5,0,50,10,0,194,28
raheem sterling,25,1.0,FW,31,28,2536,10,7,0,1,4,0,11.0,5.7,0,23,14,0,154,163
federico fernandez,31,12.0,DF,24,24,2079,0,0,0,0,4,0,0.3,0.6,1,38,5,0,53,11
diego llorente,26,9.0,DF,15,14,1204,1,0,0,0,1,0,0.8,0.5,0,12,4,0,50,77
emiliano martinez,27,11.0,GK,38,38,3420,0,0,0,0,1,0,0.0,0.1,0,46,15,142,186,129
adam webster,25,16.0,DF,29,29,2594,1,0,0,0,4,0,2.0,0.2,0,35,9,0,85,59
paul dummett,28,12.0,DF,15,14,1255,1,0,0,0,2,0,0.3,0.2,0,20,3,0,40,7
xherdan shaqiri,28,3.0,"MF,FW",14,5,556,0,2,0,0,2,0,0.5,2.5,0,7,2,0,26,0
pierre-emerick aubameyang,31,8.0,FW,29,26,2332,10,3,2,0,2,0,10.2,2.4,1,26,10,0,131,44
shola shoretire,16,2.0,FW,2,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
ezri konsa,22,11.0,DF,36,35,3196,2,0,0,0,3,0,2.4,0.1,0,46,12,0,119,78
raul jimenez,29,13.0,FW,10,10,823,4,0,0,0,0,0,2.4,0.3,1,10,4,0,43,101
bailey peacock-farrell,23,17.0,GK,4,4,360,0,0,0,0,0,0,0.0,0.0,0,14,0,10,3,0
ben mee,30,17.0,DF,30,30,2693,2,0,0,0,3,0,2.3,0.3,0,41,10,0,102,74
jairo riedewald,23,14.0,MF,33,19,1820,2,0,0,0,4,0,0.6,0.8,0,39,4,0,64,4
martin ødegaard,21,8.0,MF,14,9,866,1,2,0,0,0,0,0.7,2.0,0,12,3,0,40,131
wesley moraes,23,11.0,FW,3,0,18,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,1
jeff hendrick,28,12.0,MF,22,17,1422,2,1,0,0,3,1,1.1,1.1,0,24,3,0,52,8
craig dawson,30,6.0,DF,22,22,1925,3,0,0,0,5,1,1.9,0.1,2,25,7,0,75,90
jay rodriguez,31,17.0,FW,31,12,1265,1,2,0,0,3,0,3.0,1.1,0,25,4,0,54,60
matej vydra,28,17.0,FW,28,15,1371,3,2,0,0,0,0,5.2,1.8,0,24,3,0,62,46
dean henderson,23,2.0,GK,13,12,1125,0,0,0,0,3,0,0.0,0.0,0,12,4,40,44,0
anthony martial,24,2.0,FW,22,17,1480,4,3,0,0,0,1,6.5,2.0,0,23,4,0,75,14
arthur masuaku,26,6.0,"DF,MF",12,12,1006,0,2,0,0,2,0,0.5,2.2,0,15,4,0,42,29
mohamed salah,28,3.0,FW,37,34,3078,22,5,6,0,0,0,19.3,6.2,0,41,11,0,231,265
luke ayling,28,9.0,DF,38,38,3399,0,0,0,0,7,0,1.7,3.2,0,54,12,0,100,55
nathan broadhead,22,10.0,FW,1,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
jonjoe kenny,23,10.0,DF,4,1,79,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,21
youri tielemans,23,5.0,MF,38,37,3357,6,4,2,0,6,0,4.4,3.1,0,50,11,0,133,120
josh benson,20,17.0,MF,6,2,264,0,0,0,0,0,0,0.2,0.0,0,7,1,0,10,0
timo werner,24,4.0,"FW,MF",35,29,2602,6,8,0,0,2,0,11.4,5.6,0,29,13,0,128,62
tomas soucek,25,6.0,MF,38,38,3419,10,1,0,0,7,1,8.4,2.0,1,47,11,0,147,114
lewis dunk,28,16.0,DF,33,33,2931,5,0,0,0,5,2,2.2,1.2,1,40,11,0,130,92
kurt zouma,25,4.0,DF,24,22,2029,5,0,0,0,3,0,2.0,0.1,0,25,9,0,108,66
jack butland,27,14.0,GK,1,1,90,0,0,0,0,0,0,0.0,0.0,0,2,0,3,2,30
shane long,33,15.0,FW,11,1,210,0,0,0,0,0,0,0.1,0.0,0,6,1,0,12,19
issa diop,23,6.0,DF,18,15,1381,2,0,0,0,3,0,0.5,0.0,1,22,2,0,42,30
gabriel magalhaes,22,8.0,DF,23,22,1996,2,0,0,0,4,1,1.3,0.1,0,24,6,0,78,146
yerry mina,25,10.0,DF,24,23,1937,2,0,0,0,2,0,1.6,0.0,0,22,6,0,79,24
owen otasowie,19,13.0,"MF,FW",6,2,187,0,1,0,0,1,0,0.5,0.1,0,6,0,0,9,0
sergio reguilon,23,7.0,DF,27,26,2244,0,3,0,0,5,0,1.0,2.0,1,31,8,0,89,104
martin dubravka,31,12.0,GK,13,13,1170,0,0,0,0,0,0,0.0,0.0,0,19,3,45,47,96
kevin de bruyne,29,1.0,MF,25,23,1997,6,12,2,1,1,0,9.3,8.0,0,17,12,0,141,196
seamus coleman,31,10.0,"DF,MF",25,18,1613,0,3,0,0,0,0,0.9,1.8,0,19,8,0,81,79
jack cork,31,17.0,MF,16,15,1350,0,0,0,0,2,0,0.2,0.6,0,24,4,0,33,48
edouard mendy,28,4.0,GK,31,31,2745,0,0,0,0,2,0,0.0,0.0,0,25,16,57,140,130
caglar soyuncu,24,5.0,DF,23,19,1819,1,0,0,0,2,0,0.7,0.5,0,30,5,0,59,66
oleksandr zinchenko,23,1.0,DF,20,15,1478,0,0,0,0,0,0,0.7,0.9,0,14,8,0,69,59
jamie shackleton,20,9.0,"MF,DF",13,3,461,0,0,0,0,0,0,0.0,0.1,0,11,1,0,17,19
said benrahma,24,6.0,"FW,MF",30,14,1391,1,6,0,0,0,0,2.6,4.1,0,19,3,0,73,138
moise kean,20,10.0,"FW,MF",2,0,15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
alisson,27,3.0,GK,33,33,2970,1,0,0,0,1,0,0.1,0.0,0,32,10,84,140,176
ciaran clark,30,12.0,DF,22,21,1891,1,0,0,0,3,0,0.7,0.1,1,35,3,0,46,14
jeffrey schlupp,27,14.0,MF,27,15,1428,2,3,0,0,3,0,1.9,2.0,0,26,5,0,65,86
eric bailly,26,2.0,DF,12,10,916,0,0,0,0,3,0,0.1,0.0,0,17,3,0,31,2
joachim andersen,24,18.0,DF,31,30,2730,1,1,0,0,7,1,1.2,0.4,0,36,9,0,93,124
diogo jota,23,3.0,FW,19,12,1112,9,0,0,0,2,0,6.4,1.6,0,15,4,0,86,175
jack harrison,23,9.0,"MF,FW",36,34,2847,8,8,0,0,2,0,5.8,6.5,0,45,11,0,160,117
manuel lanzini,27,6.0,"MF,FW",17,5,566,1,1,0,0,1,0,1.0,0.9,0,5,1,0,28,92
jordan ayew,28,14.0,"FW,MF",33,23,2096,1,3,0,0,4,0,2.2,0.7,0,42,6,0,70,77
james ward-prowse,25,15.0,MF,38,38,3420,8,7,3,1,5,0,5.7,3.9,0,68,9,0,156,159
tammy abraham,22,4.0,FW,22,12,1040,6,1,0,0,0,0,5.9,0.7,0,12,5,0,69,0
aaron wan-bissaka,22,2.0,DF,34,34,3060,2,4,0,0,3,0,0.9,2.3,0,36,13,0,144,41
aaron cresswell,30,6.0,DF,36,36,3170,0,8,0,0,3,0,1.0,6.5,0,41,11,0,153,115
hannibal mejbri,17,2.0,MF,1,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1
steven alzate,21,16.0,MF,15,10,896,1,0,0,0,2,0,0.8,0.6,0,17,5,0,35,13
anthony gordon,19,10.0,"FW,MF",3,1,88,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,100
harry kane,27,7.0,FW,35,35,3082,23,14,4,0,1,0,20.1,7.1,0,39,12,0,242,192
kortney hause,25,11.0,DF,7,7,630,1,0,0,0,2,0,1.0,0.0,0,6,3,0,32,20
jesse lingard,27,6.0,"MF,FW",16,16,1421,9,4,1,1,3,0,4.5,2.1,0,19,4,0,106,29
hamza choudhury,22,5.0,MF,10,4,316,0,0,0,0,1,0,0.4,0.0,0,2,2,0,14,8
oriol romeu,28,15.0,MF,21,20,1763,1,1,0,0,6,0,0.5,1.4,0,25,6,0,52,88
ilkay gundogan,29,1.0,MF,28,23,2029,13,2,1,1,1,0,9.0,3.5,0,16,12,0,157,124
hugo lloris,33,7.0,GK,38,38,3420,0,0,0,0,0,0,0.0,0.0,0,45,12,114,149,158
darren randolph,33,6.0,GK,3,3,270,0,0,0,0,0,0,0.0,0.0,0,3,1,6,10,0
victor lindelof,26,2.0,DF,29,29,2585,1,1,0,0,0,0,0.6,0.3,0,30,10,0,102,66
michy batshuayi,26,14.0,FW,18,7,728,2,1,0,0,0,0,1.6,1.6,0,15,2,0,41,0
jamie vardy,33,5.0,FW,34,31,2840,15,9,8,1,1,0,19.9,4.7,0,44,8,0,184,133
davinson sanchez,24,7.0,DF,18,17,1486,0,0,0,0,1,0,0.8,0.0,1,22,4,0,43,93
mason holgate,23,10.0,DF,28,26,2287,1,0,0,0,9,0,1.0,0.7,0,32,9,0,80,62
roberto firmino,28,3.0,FW,36,33,2838,9,7,0,0,2,0,11.3,5.6,0,39,10,0,141,62
danny ings,28,15.0,FW,29,26,2173,12,4,2,0,1,0,8.5,2.1,0,40,6,0,131,106
ben johnson,20,6.0,"DF,FW",14,5,523,1,0,0,0,1,0,0.4,0.4,0,10,1,0,25,48
nicolas pepe,25,8.0,FW,29,16,1616,10,1,1,0,1,1,5.8,1.0,0,21,4,0,114,45
emerson palmieri,25,4.0,DF,2,0,90,0,0,0,0,0,0,0.0,0.0,0,0,1,0,7,1
mason mount,21,4.0,MF,36,32,2890,6,5,1,0,2,0,6.3,8.2,0,32,14,0,147,169
charlie taylor,26,17.0,DF,29,28,2426,0,1,0,0,1,0,0.1,1.4,0,42,8,0,83,78
giovani lo celso,24,7.0,MF,18,11,945,1,1,0,0,5,0,1.4,1.0,0,10,5,0,35,11
sadio mane,28,3.0,FW,35,31,2810,11,7,0,0,3,0,14.1,7.0,0,28,12,0,176,183
