,NAME,RK,POSITION,COST,Predicted_Points
294,konstantinos tsimikas,3,DF,50,49.52356293749693
295,nayef aguerd,9,DF,45,40.35430861015451
296,christopher nkunku,6,MF,65,34.09800983928112
297,caoimhin kelleher,3,GK,45,40.94714822738125
298,tyrick mitchell,10,DF,50,95.55548196407818
299,oscar bobb,1,MF,50,58.028489169912255
300,leandro trossard,2,MF,70,108.65428789905297
301,cristian romero,5,DF,50,79.24981100083419
302,moussa diaby,4,MF,65,109.88657159575341
303,scott mctominay,8,MF,50,76.6797971065614
304,armando broja,6,FW,55,25.660635036180068
305,james mcconnell,3,MF,45,26.37486743369278
306,charlie taylor,20,DF,40,35.08781456902182
307,pau torres,4,DF,45,70.28000880025007
308,jacob murphy,7,MF,55,56.368267311534495
309,jakub moder,11,MF,45,31.85692268992339
310,hwang hee-chan,14,MF,65,76.6945017371342
311,deivid washington de souza eugenio,6,FW,50,25.564760492550757
312,christian eriksen,8,MF,55,37.13240340856098
313,joel veltman,11,DF,45,37.637241285084635
314,trevoh chalobah,6,DF,45,44.6383700963166
315,mateo kovacic,1,MF,55,72.83060226902325
316,pablo sarabia,14,MF,55,73.66661147837867
317,jamaal lascelles,7,DF,45,43.44860633713456
318,thomas partey,2,MF,50,35.596532642649876
319,julian alvarez,1,FW,70,168.28505713133518
320,alex iwobi,13,MF,55,62.661231576808945
321,seamus coleman,15,DF,45,21.816459116725035
322,bryan mbeumo,16,MF,70,114.90054581928177
323,jack hinshelwood,11,MF,50,51.31851526771432
324,luis diaz,3,MF,75,133.89753018010302
325,kristoffer ajer,16,DF,45,57.733932342297976
326,leon bailey,4,MF,65,145.66793231996706
327,alex murphy,7,DF,40,21.016326714092386
328,kevin schade,16,MF,55,44.14611301513629
329,dwight mcneil,15,MF,55,124.90307648116651
330,lucas tolentino coelho de lima,9,MF,60,74.72704837048666
331,daniel jebbison,12,FW,45,16.289738696024028
332,mahmoud dahoud,11,MF,50,29.378170288036397
333,daniel bentley,14,GK,40,26.444077882463702
334,anthony elanga,17,MF,55,99.38773851185344
335,carlos vinicius alves morais,13,FW,50,27.456106674617526
336,gabriel martinelli silva,2,MF,70,106.6500193261253
337,romeo lavia,6,MF,45,13.858092968372102
338,radu dragusin,5,DF,45,21.09266109185262
339,jonny evans,8,DF,45,17.950141065257238
340,evan ferguson,11,FW,55,54.375099819256924
341,alejandro garnacho,8,MF,65,102.35139425166238
342,timothy castagne,13,DF,45,77.78294763843958
343,marcus rashford,8,MF,70,81.14143485922882
344,brennan johnson,5,MF,65,65.77263002494892
345,guglielmo vicario,5,GK,50,100.2896582242024
346,mark flekken,16,GK,45,97.94058644444007
347,pedro porro,5,DF,55,114.79683551609415
348,rico henry,16,DF,45,36.54760000877601
349,remi matthews,10,GK,40,18.945012598852294
350,milos kerkez,12,DF,45,67.97469521617836
351,tim iroegbunam,15,MF,45,19.112829527076823
352,josh dasilva,16,MF,50,11.577454827698999
353,fabio ferreira vieira,2,MF,55,37.31039466318044
354,vitaly janelt,16,MF,50,85.17636628573923
355,philip billing,12,MF,50,54.14611195837806
356,stefan ortega moreno,1,GK,55,33.104940699340936
357,amadou onana,4,MF,50,60.66182108313678
