NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS
stefan bajcetic maquieira,Bajcetic,Liverpool,3,MF,45,18,1,0,26,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1
yves bissouma,Bissouma,Spurs,5,MF,50,26,28,26,2068,0,0,0,0,10,2,1.4,0.4,0,35,7,0,44
moises caicedo corozo,Caicedo,Chelsea,6,MF,50,21,35,33,2866,1,3,0,0,11,0,0.4,2.6,0,50,7,0,84
bukayo saka,Saka,Arsenal,2,MF,100,21,35,35,2919,16,9,6,0,4,0,15.5,10.5,0,27,16,0,226
boubacar traore,B.Traore,Wolves,14,MF,50,21,24,7,819,0,0,0,0,4,0,0.3,0.4,0,23,0,0,25
dejan kulusevski,Kulusevski,Spurs,5,MF,65,23,36,31,2762,8,3,0,0,7,0,4.7,7.7,0,46,8,0,130
amad diallo,Amad,Man Utd,8,MF,50,21,9,3,390,1,1,0,0,1,0,0.5,1.1,0,6,1,0,23
luis sinisterra,Sinisterra,Bournemouth,12,MF,50,24,20,7,699,2,2,0,0,0,0,2.5,2.4,0,18,1,0,43
raul jimenez,Raúl,Fulham,13,FW,55,32,24,18,1395,7,0,0,0,3,1,5.2,1.5,0,29,4,0,72
ian maatsen,Maatsen,Aston Villa,4,DF,50,21,12,1,209,0,0,0,0,1,0,0.8,0.1,0,5,0,0,11
tyler adams,Adams,Bournemouth,12,MF,50,24,3,1,121,0,0,0,0,0,0,0.0,0.1,0,3,0,0,5
cameron archer,Archer,Aston Villa,4,FW,50,22,1,0,6,0,0,0,0,1,0,0.0,0.0,0,50,2,0,82
joao pedro junqueira de jesus,João Pedro,Brighton,11,FW,55,21,31,19,2045,9,3,4,1,2,0,11.9,3.8,0,38,5,0,104
rico lewis,Lewis,Man City,1,DF,45,18,16,8,809,2,0,0,0,1,0,0.6,1.1,0,9,4,0,52
mikkel damsgaard,Damsgaard,Brentford,16,MF,50,23,23,7,842,0,2,0,0,2,0,0.9,1.4,0,9,5,0,45
michael keane,Keane,Everton,15,DF,40,30,9,4,439,1,0,0,0,2,0,0.7,0.0,0,13,1,0,18
joachim andersen,Andersen,Crystal Palace,10,DF,45,27,38,38,3415,2,3,0,0,7,0,1.7,2.8,0,58,10,0,121
rasmus højlund,Højlund,Man Utd,8,FW,70,20,30,25,2158,10,2,0,0,2,0,7.6,1.6,0,35,6,0,112
miguel almiron rejala,Almirón,Newcastle,7,MF,60,29,33,23,1937,3,1,0,0,2,0,4.5,2.6,0,40,5,0,77
james ward-prowse,Ward-Prowse,West Ham,9,MF,65,28,37,34,3001,7,7,2,0,4,0,6.0,7.8,0,65,5,0,146
mohamed salah,M.Salah,Liverpool,3,MF,125,31,32,28,2534,18,10,5,2,2,0,21.2,11.8,0,30,8,0,211
jean-philippe mateta,Mateta,Crystal Palace,10,FW,75,26,35,25,2282,16,5,2,0,3,0,10.9,3.1,0,44,8,0,165
jakub kiwior,Kiwior,Arsenal,2,DF,50,23,20,11,946,1,3,0,0,1,0,0.8,0.9,0,8,6,0,67
harvey elliott,Elliott,Liverpool,3,MF,55,20,34,11,1352,3,6,0,0,2,0,2.7,3.5,0,13,4,0,96
myles peart-harris,Peart-Harris,Brentford,16,MF,45,20,3,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3
sergio reguilon,Reguilón,Spurs,5,DF,45,26,9,4,412,0,0,0,0,3,0,0.2,0.7,0,30,5,0,74
robert sanchez,Sánchez,Chelsea,6,GK,45,25,16,16,1433,0,0,0,0,2,0,0.0,0.0,0,25,3,53,59
matty cash,Cash,Aston Villa,4,DF,45,25,29,23,2142,2,2,0,0,8,0,4.2,2.3,1,36,3,0,64
adam webster,Webster,Brighton,11,DF,45,28,15,13,1144,0,0,0,0,2,0,0.4,0.1,1,22,2,0,26
harrison reed,Reed,Fulham,13,MF,50,28,27,15,1325,0,2,0,0,6,0,0.3,1.1,0,23,6,0,47
michail antonio,Antonio,West Ham,9,FW,55,33,26,21,1695,6,2,0,0,6,0,5.8,0.9,0,34,5,0,78
wes foderingham,Foderingham,West Ham,9,GK,45,32,30,29,2649,0,0,0,0,2,0,0.0,0.1,1,79,1,133,70
adam lallana,Lallana,Southampton,20,MF,50,35,25,13,850,0,1,0,0,2,0,0.8,1.7,0,13,2,0,30
jeffrey schlupp,Schlupp,Crystal Palace,10,MF,50,30,29,17,1352,2,2,0,0,1,0,1.8,2.3,0,25,4,0,66
conor gallagher,Gallagher,Chelsea,6,MF,60,23,37,37,3128,5,7,0,0,9,1,4.2,5.0,0,56,8,0,129
emil krafth,Krafth,Newcastle,7,DF,45,28,17,8,913,0,0,0,0,2,0,0.2,1.0,0,15,3,0,33
destiny udogie,Udogie,Spurs,5,DF,50,20,28,28,2391,2,3,0,0,7,1,2.4,2.2,0,43,5,0,79
alexis mac allister,Mac Allister,Liverpool,3,MF,65,24,33,31,2599,5,5,1,0,7,1,3.7,3.6,0,34,6,0,109
luke thomas,Thomas,Leicester,20,DF,40,22,12,11,917,0,0,0,0,3,0,0.5,0.1,0,29,0,0,7
matt turner,Turner,Nott'm Forest,17,GK,40,29,17,17,1530,0,0,0,0,2,0,0.0,0.0,0,28,2,55,41
mohammed kudus,Kudus,West Ham,9,MF,65,22,33,27,2484,8,6,0,0,6,0,5.1,3.5,0,61,3,0,137
trent alexander-arnold,Alexander-Arnold,Liverpool,3,DF,70,24,28,25,2155,3,4,0,0,6,0,2.6,7.2,0,28,8,0,122
alex scott,Scott,Bournemouth,12,MF,50,19,23,11,1014,1,1,0,0,3,0,0.7,1.7,0,25,3,0,41
ryan christie,Christie,Bournemouth,12,MF,50,28,37,35,2907,0,5,0,0,6,0,2.3,5.4,0,56,8,0,90
sam johnstone,Johnstone,Crystal Palace,10,GK,45,30,20,20,1796,0,0,0,0,1,0,0.0,0.0,0,27,6,41,68
nathaniel clyne,Clyne,Crystal Palace,10,DF,45,32,19,14,1338,0,0,0,0,0,0,0.2,0.2,0,16,5,0,52
dominik szoboszlai,Szoboszlai,Liverpool,3,MF,65,22,33,25,2104,3,2,0,0,1,0,3.7,5.8,0,23,8,0,99
issa diop,Diop,Fulham,13,DF,45,26,18,16,1424,0,0,0,0,4,1,0.3,0.0,0,26,5,0,43
facundo pellistri rebollo,Pellistri,Man Utd,8,MF,50,21,9,1,172,0,1,0,0,0,0,0.7,0.1,0,2,0,0,13
axel disasi,Disasi,Chelsea,6,DF,45,25,31,29,2579,2,0,0,0,6,0,2.4,0.3,1,50,5,0,71
odsonne edouard,Edouard,Crystal Palace,10,FW,55,25,30,17,1555,7,0,0,0,4,0,6.2,1.2,0,24,6,0,79
alejo veliz,Veliz,Spurs,5,FW,50,19,8,0,50,1,0,0,0,1,0,0.2,0.0,0,2,0,0,11
callum hudson-odoi,Hudson-Odoi,Nott'm Forest,17,MF,55,22,29,20,1854,8,1,0,0,0,0,2.7,2.8,0,41,2,0,109
tino livramento,Livramento,Newcastle,7,DF,45,20,26,12,1314,1,0,0,0,1,0,0.4,0.8,0,27,2,0,45
sven botman,Botman,Newcastle,7,DF,45,23,17,15,1377,2,2,0,0,2,0,0.6,1.0,1,29,3,0,51
nathan ake,Aké,Man City,1,DF,55,28,29,24,2042,2,2,0,0,0,0,2.5,1.2,0,20,6,0,99
chris mepham,Mepham,Bournemouth,12,DF,45,25,10,6,617,0,1,0,0,2,0,0.1,0.4,0,16,1,0,16
mykhailo mudryk,Mudryk,Chelsea,6,MF,65,22,31,18,1576,5,2,0,0,5,0,4.4,4.1,0,28,7,0,94
willy boly,Boly,Nott'm Forest,17,DF,45,32,20,18,1438,2,1,0,0,3,1,1.5,1.3,0,26,3,0,58
antonee robinson,Robinson,Fulham,13,DF,45,25,37,37,3265,0,6,0,0,6,0,0.7,4.2,2,60,9,0,104
reiss nelson,Nelson,Arsenal,2,MF,50,23,15,1,268,0,0,0,0,1,0,0.2,0.6,0,1,1,0,16
kai havertz,Havertz,Arsenal,2,FW,80,24,37,30,2634,13,7,1,0,11,0,12.3,4.4,0,22,16,0,180
emiliano martinez romero,Martinez,Aston Villa,4,GK,50,30,34,34,3015,0,0,0,0,4,0,0.0,0.0,2,48,8,95,115
andrew omobamidele,Omobamidele,Nott'm Forest,17,DF,45,21,11,8,783,0,0,0,0,2,0,0.1,0.1,1,15,0,0,11
ross barkley,Barkley,Aston Villa,4,MF,55,29,32,30,2618,5,4,0,0,6,0,4.1,3.7,0,66,2,0,101
julio enciso,Enciso,Brighton,11,MF,55,19,12,5,475,0,2,0,0,2,0,1.4,1.7,0,12,0,0,20
kenny tete,Tete,Fulham,13,DF,45,27,14,10,867,1,0,0,0,2,0,0.9,0.4,0,21,2,0,27
jack grealish,Grealish,Man City,1,MF,65,27,20,10,1009,3,1,0,0,6,0,2.1,2.5,0,13,3,0,50
mason holgate,Holgate,Everton,15,DF,40,26,10,9,710,0,0,0,0,3,1,0.6,0.4,0,27,0,0,1
frank onyeka,Onyeka,Brentford,16,MF,50,25,26,11,1161,1,2,0,0,8,0,2.2,1.8,0,27,1,0,39
phil foden,Foden,Man City,1,MF,95,23,35,33,2857,19,8,0,0,2,0,10.3,8.4,0,27,14,0,230
kevin de bruyne,De Bruyne,Man City,1,MF,95,32,18,15,1221,4,10,0,0,2,0,2.4,11.5,0,8,7,0,98
neal maupay,Maupay,Everton,15,FW,50,26,2,1,111,0,0,0,0,0,0,1.4,0.1,0,37,4,0,76
max kilman,Kilman,West Ham,9,DF,45,26,38,38,3420,2,0,0,0,7,0,1.8,1.4,0,65,5,0,82
joelinton cassio apolinario de lira,Joelinton,Newcastle,7,MF,60,26,20,15,1279,2,1,0,0,6,0,3.1,2.8,0,23,3,0,45
harry maguire,Maguire,Man Utd,8,DF,50,30,22,18,1653,2,2,0,0,4,0,2.0,1.2,0,29,4,0,73
ben brereton diaz,Brereton Díaz,Southampton,20,MF,55,24,14,14,1105,6,1,1,0,3,0,6.1,1.5,0,37,0,0,62
jeremy doku,Doku,Man City,1,MF,65,21,29,18,1595,3,8,0,0,3,0,2.5,4.6,0,19,1,0,98
simon adingra,Adingra,Brighton,11,MF,55,21,31,25,2222,6,1,0,0,3,0,4.3,3.7,0,38,4,0,97
edson alvarez velazquez,Álvarez,West Ham,9,MF,50,25,31,28,2377,1,1,0,0,11,0,1.3,0.6,0,45,5,0,62
ben chilwell,Chilwell,Chelsea,6,DF,50,26,13,9,756,0,1,0,0,5,0,1.2,2.2,0,14,1,0,24
nathan patterson,Patterson,Everton,15,DF,45,21,20,9,1005,0,2,0,0,4,0,0.3,1.7,0,21,2,0,34
murillo santiago costa dos santos,Murillo,Nott'm Forest,17,DF,45,21,32,32,2789,0,2,0,0,5,0,1.8,1.2,1,56,3,0,58
john stones,Stones,Man City,1,DF,55,29,16,12,1064,1,0,0,0,2,0,1.0,0.2,0,9,5,0,53
benoit badiashile,B.Badiashile,Chelsea,6,DF,45,22,18,15,1338,0,1,0,0,3,0,0.3,1.5,1,31,3,0,35
james hill,Hill,Bournemouth,12,DF,40,21,5,1,76,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5
konstantinos tsimikas,Tsimikas,Liverpool,3,DF,50,27,13,8,679,0,3,0,0,0,0,0.1,1.0,0,7,4,0,48
nayef aguerd,N.Aguerd,West Ham,9,DF,45,27,21,21,1857,1,0,0,0,3,1,1.5,0.3,0,44,2,0,36
christopher nkunku,Nkunku,Chelsea,6,MF,65,25,11,2,443,3,0,0,0,0,0,2.3,0.2,0,12,0,0,29
caoimhin kelleher,Kelleher,Liverpool,3,GK,45,24,10,10,900,0,0,0,0,0,0,0.0,0.0,0,11,2,28,34
tyrick mitchell,Mitchell,Crystal Palace,10,DF,50,23,37,37,3204,2,3,0,0,6,0,1.6,2.8,0,55,10,0,119
oscar bobb,Bobb,Man City,1,MF,50,20,14,2,302,1,1,0,0,0,0,1.4,1.2,0,5,1,0,30
leandro trossard,Trossard,Arsenal,2,MF,70,28,34,18,1649,12,1,0,0,2,0,7.9,2.8,0,10,12,0,138
cristian romero,Romero,Spurs,5,DF,50,25,33,33,2790,5,0,0,0,7,1,3.5,0.4,1,46,7,0,107
moussa diaby,Diaby,Aston Villa,4,MF,65,24,38,25,2174,6,8,0,0,1,0,7.0,6.6,0,40,8,0,142
scott mctominay,McTominay,Man Utd,8,MF,50,26,32,18,1901,7,1,0,0,2,0,5.7,0.8,0,30,7,0,98
armando broja,Broja,Chelsea,6,FW,55,21,8,0,88,0,0,0,0,0,0,0.0,0.2,0,9,3,0,35
james mcconnell,McConnell,Liverpool,3,MF,45,18,3,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3
charlie taylor,Taylor,Southampton,20,DF,40,29,28,25,2331,1,1,0,0,8,0,0.2,1.2,0,46,2,0,47
pau torres,Pau,Aston Villa,4,DF,45,26,29,27,2464,2,0,0,0,1,0,1.0,0.4,0,37,6,0,85
jacob murphy,J.Murphy,Newcastle,7,MF,55,28,21,14,1189,3,7,0,0,1,0,2.1,5.0,0,21,5,0,82
jakub moder,Moder,Brighton,11,MF,45,24,17,6,618,0,0,0,0,2,0,0.6,0.8,0,13,1,0,21
hwang hee-chan,Hee Chan,Wolves,14,MF,65,27,29,25,2119,12,3,1,0,6,0,7.7,3.0,0,37,3,0,125
deivid washington de souza eugenio,Deivid,Chelsea,6,FW,50,18,2,0,13,0,0,0,0,0,0,0.5,0.0,0,1,0,0,2
christian eriksen,Eriksen,Man Utd,8,MF,55,31,22,12,1141,1,2,0,0,1,0,1.0,2.3,0,27,2,0,48
joel veltman,Veltman,Brighton,11,DF,45,31,27,17,1588,1,1,0,0,4,0,0.4,0.5,0,32,3,0,49
trevoh chalobah,Chalobah,Chelsea,6,DF,45,24,13,10,952,1,0,0,0,1,0,0.2,0.1,0,14,3,0,39
mateo kovacic,Kovačić,Man City,1,MF,55,29,30,16,1551,1,0,0,0,4,0,1.3,1.6,0,14,9,0,59
pablo sarabia,Sarabia,Wolves,14,MF,55,31,30,20,1745,4,7,2,0,5,0,5.5,5.9,0,27,6,0,99
jamaal lascelles,Lascelles,Newcastle,7,DF,45,29,16,13,1080,1,0,0,0,4,0,0.7,0.1,0,15,5,0,46
thomas partey,Thomas,Arsenal,2,MF,50,30,14,9,788,0,0,0,0,3,0,0.4,0.3,0,5,5,0,24
julian alvarez,J.Alvarez,Man City,1,FW,70,23,36,31,2647,11,8,2,0,2,0,13.0,6.4,0,24,12,0,158
alex iwobi,Iwobi,Fulham,13,MF,55,27,2,2,140,0,0,0,0,0,0,0.3,0.2,0,41,7,0,102
seamus coleman,Coleman,Everton,15,DF,45,34,12,7,665,0,0,0,0,0,0,0.0,1.0,1,10,4,0,30
bryan mbeumo,Mbeumo,Brentford,16,MF,70,23,25,22,1960,9,6,3,0,2,0,9.8,4.6,0,31,5,0,127
jack hinshelwood,Hinshelwood,Brighton,11,MF,50,18,12,8,869,3,0,0,0,1,0,1.9,0.7,0,17,2,0,42
luis diaz,Luis Díaz,Liverpool,3,MF,75,26,37,32,2629,8,5,0,0,3,0,11.9,5.7,0,33,7,0,142
kristoffer ajer,Ajer,Brentford,16,DF,45,25,28,21,1832,2,1,0,0,5,0,1.3,2.3,0,33,5,0,68
leon bailey,Bailey,Aston Villa,4,MF,65,25,35,22,2068,10,9,0,0,5,0,6.3,9.2,0,32,5,0,148
alex murphy,A.Murphy,Newcastle,7,DF,40,19,2,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2
kevin schade,Schade,Brentford,16,MF,55,21,11,3,333,2,1,0,0,0,0,1.2,0.7,0,5,1,0,33
dwight mcneil,McNeil,Everton,15,MF,55,23,35,33,2892,3,6,0,0,2,0,3.4,8.8,0,39,12,0,124
lucas tolentino coelho de lima,L.Paquetá,West Ham,9,MF,60,25,31,31,2622,4,6,2,0,10,0,5.4,5.4,0,52,4,0,100
daniel jebbison,Jebbison,Bournemouth,12,FW,45,19,1,0,21,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
mahmoud dahoud,Dahoud,Brighton,11,MF,50,27,9,6,452,0,1,0,0,1,1,0.2,0.9,0,6,1,0,14
daniel bentley,Bentley,Wolves,14,GK,40,30,5,3,383,0,0,0,0,0,0,0.0,0.0,0,7,2,8,18
anthony elanga,Elanga,Nott'm Forest,17,MF,55,21,36,25,2433,5,9,0,0,1,0,6.6,6.7,0,47,2,0,119
carlos vinicius alves morais,Vinicius,Fulham,13,FW,50,28,13,2,315,2,0,0,0,2,0,1.6,0.8,0,5,0,0,22
gabriel martinelli silva,Martinelli,Arsenal,2,MF,70,22,35,24,2019,6,4,0,0,1,0,6.8,6.1,0,23,10,0,118
romeo lavia,Lavia,Chelsea,6,MF,45,19,1,0,33,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
radu dragusin,Dragusin,Spurs,5,DF,45,21,9,4,429,0,0,0,0,1,0,0.1,0.0,0,7,1,0,14
jonny evans,Evans,Man Utd,8,DF,45,35,23,15,1392,0,1,0,0,2,0,0.1,1.2,0,24,4,0,49
evan ferguson,Ferguson,Brighton,11,FW,55,18,27,15,1367,6,0,0,0,1,0,4.6,0.5,0,28,2,0,69
alejandro garnacho,Garnacho,Man Utd,8,MF,65,19,36,30,2565,7,4,0,0,4,0,8.4,5.1,0,39,8,0,131
timothy castagne,Castagne,Fulham,13,DF,45,27,34,29,2634,1,3,0,0,3,0,1.6,1.9,0,40,9,0,105
marcus rashford,Rashford,Man Utd,8,MF,70,25,33,26,2271,7,2,2,0,2,0,7.4,2.3,0,37,7,0,108
brennan johnson,Johnson,Spurs,5,MF,65,22,3,3,237,0,0,0,0,0,0,0.3,0.2,0,42,5,0,131
guglielmo vicario,Vicario,Spurs,5,GK,50,26,38,38,3420,0,0,0,0,2,0,0.0,0.0,0,61,7,110,112
mark flekken,Flekken,Brentford,16,GK,45,30,37,37,3285,0,1,0,0,3,0,0.0,0.5,0,63,7,115,119
pedro porro,Pedro Porro,Spurs,5,DF,55,23,35,35,3089,3,7,0,0,3,0,2.9,7.2,0,54,7,0,136
rico henry,Henry,Brentford,16,DF,45,26,5,5,401,0,1,0,0,1,0,0.1,1.0,0,5,1,0,13
remi matthews,Matthews,Crystal Palace,10,GK,40,29,1,0,4,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1
milos kerkez,Kerkez,Bournemouth,12,DF,45,19,28,22,1970,0,1,0,0,4,1,1.2,0.8,1,37,6,0,59
tim iroegbunam,Iroegbunam,Everton,15,MF,45,20,9,1,164,0,0,0,0,0,0,0.0,0.0,0,7,0,0,10
josh dasilva,Dasilva,Brentford,16,MF,50,24,3,0,24,0,0,0,0,0,0,0.0,0.2,0,0,0,0,3
fabio ferreira vieira,Fábio Vieira,Arsenal,2,MF,55,23,11,2,297,1,2,1,0,0,1,1.3,1.6,0,2,1,0,24
vitaly janelt,Janelt,Brentford,16,MF,50,25,38,37,3054,1,3,0,0,8,0,1.8,4.8,0,52,9,0,93
philip billing,Philip,Bournemouth,12,MF,50,27,29,13,1398,2,2,0,0,3,1,2.5,3.2,0,36,2,0,60
stefan ortega moreno,Ortega Moreno,Man City,1,GK,55,30,9,5,635,0,0,0,0,0,0,0.0,0.0,0,7,1,20,22
amadou onana,Onana,Aston Villa,4,MF,50,21,30,23,2091,2,0,0,0,5,0,2.0,2.7,0,38,5,0,66
