NAME,WEB_NAME,TEAM,RK,POSITION,COST,AGE,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS
josko gvardiol,Gvardiol,Man City,1,DF,60,21,28,26,2328,4,1,0,0,3,0,3.1,1.4,0,23,9,0,123
billy gilmour,Gilmour,Brighton,11,MF,50,22,30,24,2120,0,1,0,0,8,1,1.0,2.0,0,37,6,0,61
tyrone mings,Mings,Aston Villa,4,DF,45,30,1,1,30,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0
bernd leno,Leno,Fulham,13,GK,50,31,38,38,3420,0,0,0,0,3,0,0.0,0.0,1,61,10,134,133
fabio silva,Fábio Silva,Wolves,14,FW,50,21,8,3,264,0,0,0,0,2,0,1.0,0.2,0,8,1,0,8
lesley ugochukwu,Ugochukwu,Chelsea,6,MF,45,19,12,3,301,0,0,0,0,2,0,0.0,0.1,0,6,1,0,13
anthony gordon,Gordon,Newcastle,7,MF,75,22,35,34,2890,11,10,1,0,12,1,10.2,8.0,0,48,12,0,183
sean longstaff,Longstaff,Newcastle,7,MF,50,25,35,30,2747,6,2,0,0,7,0,6.6,2.3,0,50,10,0,110
giovani lo celso,Lo Celso,Spurs,5,MF,50,27,22,4,506,2,2,0,0,2,0,0.6,1.9,0,12,1,0,47
sandro tonali,Tonali,Newcastle,7,MF,55,23,8,5,438,1,0,0,0,2,0,0.7,0.6,0,5,1,0,16
erling haaland,Haaland,Man City,1,FW,150,23,31,29,2552,27,5,7,1,1,0,29.2,4.3,0,25,11,0,217
noni madueke,Madueke,Chelsea,6,MF,65,21,23,13,1053,5,2,1,0,2,0,2.5,2.6,0,19,4,0,76
tosin adarabioyo,Tosin,Chelsea,6,DF,45,25,20,18,1617,2,0,0,0,2,0,0.7,0.1,0,25,6,0,66
craig dawson,Dawson,Wolves,14,DF,45,33,25,25,2209,1,1,0,0,7,0,1.5,1.4,0,38,6,0,69
nathan fraser,Fraser,Wolves,14,FW,45,18,7,1,186,0,0,0,0,1,0,0.3,0.1,0,3,1,0,7
ethan pinnock,Pinnock,Brentford,16,DF,45,30,29,28,2521,2,0,0,0,1,0,2.0,1.0,0,46,5,0,77
ibrahima konate,Konaté,Liverpool,3,DF,50,24,22,17,1574,0,0,0,0,5,1,0.7,0.4,0,19,6,0,56
danny ings,Ings,West Ham,9,FW,50,31,20,3,404,1,0,0,0,1,0,1.3,0.3,0,10,0,0,36
