,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
214,malang sarr,0,0,0,0,43,0
215,gabriel słonina,0,0,0,0,40,0
216,raheem sterling,5,38,0,0,68,123
217,thiago emiliano da silva,7,45,0,0,50,98
218,hakim ziyech,0,0,0,0,54,0
219,naouirou ahamada,0,14,0,0,43,16
220,joachim andersen,10,58,0,0,47,121
221,jordan ayew,11,39,0,0,53,109
222,nathaniel clyne,5,16,0,0,43,52
223,cheick doucoure,3,12,0,0,48,21
224,malcolm ebiowei,0,0,0,0,44,0
225,odsonne edouard,6,24,0,0,53,79
226,eberechi eze,8,28,0,0,60,136
227,vicente guaita,0,0,0,0,44,0
228,marc guehi,6,32,0,0,42,66
229,will hughes,8,38,0,0,49,61
230,sam johnstone,6,27,0,41,43,68
231,jefferson lerma solis,5,46,0,0,47,64
232,jean-philippe mateta,8,44,0,0,51,165
233,remi matthews,0,1,0,0,39,1
234,tyrick mitchell,10,55,0,0,45,119
235,jake o’brien,0,0,0,0,40,0
236,michael olise,3,19,0,0,57,125
237,luke plange,0,0,0,0,45,0
238,chris richards,4,38,0,0,39,62
239,jairo riedewald,1,3,0,0,43,12
240,jeffrey schlupp,4,25,0,0,48,66
241,james tomkins,0,2,0,0,39,3
242,joel ward,5,34,1,0,45,54
243,joe whitworth,0,0,0,0,39,0
244,andre tavares gomes,3,7,0,0,44,20
245,jarrad branthwaite,12,44,0,0,45,124
246,dominic calvert-lewin,13,27,0,0,58,101
247,seamus coleman,4,10,1,0,44,30
248,dele alli,0,0,0,0,48,0
249,abdoulaye doucoure,12,36,0,0,55,116
250,james garner,11,47,0,0,49,87
251,jean-philippe gbamin,0,0,0,0,44,0
252,ben godfrey,4,13,0,0,43,37
253,demarai gray,0,0,0,0,53,0
254,idrissa gueye,7,25,0,0,48,73
255,mason holgate,0,27,0,0,40,1
256,alex iwobi,7,41,0,0,53,102
